project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
ant,Public Class,org.apache.tools.ant.types.resources.Archives,2.0,2.0,2.0,1.0,13.0,0.0,9.0,4.0,3.0,10.0,0.0,0.0,0.0,10.0,42.0,10.0,2.0,0.0,0.0,3.0,7.0,156.0,11.0,96.0,20.0,59.0,50.0,48.0,68.0,21.0,3.0,3.0,3.0,1.0,3.0,1.0,50.0,30.0,0.52,23,23,24,10,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.optional.script.ScriptDef.Attribute,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,6.0,3.0,1.0,9.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1,1,1,1,False
ant,Public Static Class,org.apache.tools.ant.taskdefs.MacroDef.TemplateElement,1.0,1.0,1.0,1.0,10.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,10.0,10.0,10.0,4.0,0.0,0.0,0.0,10.0,121.0,12.0,51.0,16.0,24.0,59.0,18.0,32.0,16.0,4.0,4.0,7.0,3.0,1.0,1.0,65.0,65.0,1.16,16,16,19,12,False
ant,Public Class,org.apache.tools.ant.taskdefs.compilers.Sj,1.0,1.0,1.0,1.0,13.0,1.0,6.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,33.0,2.0,0.0,0.0,0.0,1.0,1.0,36.0,5.0,14.0,6.0,8.0,17.0,7.0,10.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.21,3,3,3,2,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter,1.0,1.0,2.0,1.0,13.0,0.0,8.0,4.0,2.0,5.0,0.0,0.0,1.0,13.0,13.0,13.0,7.0,0.0,0.0,2.0,11.0,237.0,26.0,120.0,26.0,76.0,92.0,55.0,80.0,25.0,7.0,7.0,10.0,1.0,1.0,2.0,83.0,80.0,0.77,24,24,27,13,False
ant,Public Class,org.apache.tools.ant.taskdefs.optional.Native2Ascii,1.0,1.0,2.0,1.0,14.0,0.0,7.0,6.0,1.0,13.0,0.0,0.0,0.0,17.0,97.0,17.0,8.0,0.0,1.0,0.0,16.0,291.0,34.0,152.0,47.0,86.0,114.0,63.0,100.0,44.0,9.0,9.0,11.0,1.0,4.0,2.0,83.0,81.0,0.75,33,33,36,17,False
ant,Public Class,org.apache.tools.ant.taskdefs.PropertyHelperTask,2.0,2.0,3.0,1.0,13.0,0.0,10.0,3.0,1.0,6.0,0.0,0.0,0.0,5.0,44.0,5.0,2.0,0.0,1.0,0.0,4.0,116.0,10.0,71.0,19.0,36.0,35.0,28.0,48.0,19.0,8.0,8.0,9.0,1.0,3.0,2.0,60.0,40.0,0.49,14,14,15,5,False
ant,Public Class,org.apache.tools.ant.taskdefs.condition.HasMethod,2.0,2.0,2.0,2.0,12.0,0.0,9.0,3.0,2.0,5.0,0.0,0.0,0.0,11.0,21.0,11.0,6.0,0.0,3.0,0.0,8.0,164.0,14.0,107.0,25.0,64.0,43.0,45.0,72.0,27.0,7.0,7.0,7.0,7.0,2.0,3.0,78.0,72.0,0.4,26,26,27,23,False
ant,Public Static Class,org.apache.tools.ant.types.selectors.TypeSelector.FileType,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,7.0,4.0,3.0,8.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.14,1,1,1,1,False
ant,Private Static Class,org.apache.tools.ant.XmlLogger.TimedElement,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,33.0,0.0,7.0,4.0,1.0,26.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,50.0,3.71,1,1,1,1,False
ant,Public Static Class,org.apache.tools.ant.types.selectors.DateSelector.TimeComparisons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0,0,0,0,False
ant,Public Class,org.apache.tools.ant.types.optional.ScriptCondition,1.0,1.0,1.0,1.0,10.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,25.0,3.0,1.0,0.0,0.0,0.0,3.0,46.0,4.0,14.0,5.0,6.0,28.0,6.0,10.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,33.0,0.0,2.0,3,3,3,3,False
ant,Public Class,org.apache.tools.ant.TaskAdapter,2.0,2.0,2.0,1.0,19.0,0.0,10.0,9.0,2.0,5.0,0.0,1.0,0.0,7.0,46.0,6.0,1.0,0.0,0.0,0.0,7.0,157.0,11.0,74.0,19.0,48.0,72.0,27.0,43.0,15.0,9.0,9.0,9.0,1.0,3.0,3.0,57.0,42.0,0.97,19,19,19,7,False
ant,Private Class,org.apache.tools.ant.taskdefs.optional.Native2Ascii.ExtMapper,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,17.0,2.0,15.0,5.0,6.0,0.0,3.0,8.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4,4,4,3,False
ant,Public Class,org.apache.tools.ant.taskdefs.FixCRLF,2.0,2.0,2.0,1.0,15.0,0.0,8.0,6.0,2.0,12.0,0.0,0.0,3.0,17.0,97.0,17.0,8.0,0.0,2.0,0.0,15.0,654.0,73.0,366.0,102.0,222.0,218.0,157.0,239.0,97.0,10.0,10.0,11.0,1.0,4.0,3.0,80.0,76.0,0.6,40,40,41,17,False
ant,Public Abstract Class,org.apache.tools.ant.types.resources.ContentTransformingResource,2.0,2.0,2.0,1.0,15.0,0.0,9.0,5.0,1.0,4.0,1.0,0.0,1.0,9.0,92.0,9.0,0.0,0.0,0.0,5.0,4.0,146.0,12.0,74.0,22.0,42.0,60.0,28.0,46.0,20.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,0.81,16,16,16,12,False
ant,Public Class,org.apache.tools.ant.util.ChainedMapper,6.0,6.0,6.0,1.0,25.0,2.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,3.0,24.0,6.0,16.0,7.0,15.0,19.0,8.0,6.0,6.0,6.0,1.0,2.0,4.0,0.0,0.0,0.29,6,6,6,1,False
ant,Public Static Class,org.apache.tools.ant.types.FilterSet.Filter,1.0,1.0,1.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,6.0,66.0,7.0,22.0,9.0,6.0,37.0,8.0,15.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,66.0,50.0,1.68,6,6,6,6,False
ant,Public Class,org.apache.tools.ant.DirectoryScanner,2.0,2.0,3.0,1.0,20.0,0.0,11.0,8.0,4.0,12.0,4.0,11.0,7.0,69.0,69.0,58.0,30.0,3.0,20.0,12.0,34.0,1846.0,143.0,852.0,213.0,556.0,857.0,365.0,556.0,182.0,26.0,26.0,36.0,9.0,1.0,7.0,94.0,76.0,1.01,196,196,232,113,True
ant,Public Class,org.apache.tools.ant.Project,1.0,1.0,1.0,1.0,16.0,0.0,6.0,9.0,2.0,33.0,0.0,5.0,15.0,125.0,125.0,120.0,19.0,0.0,5.0,10.0,110.0,2424.0,169.0,925.0,276.0,529.0,1334.0,412.0,634.0,257.0,14.0,14.0,14.0,4.0,1.0,5.0,97.0,92.0,1.44,228,228,232,135,True
ant,Public Class,org.apache.tools.ant.taskdefs.Javadoc,2.0,2.0,2.0,1.0,14.0,0.0,9.0,5.0,1.0,35.0,0.0,0.0,3.0,105.0,144.0,105.0,33.0,0.0,22.0,1.0,82.0,2420.0,217.0,1329.0,365.0,815.0,885.0,581.0,894.0,352.0,15.0,15.0,17.0,6.0,3.0,6.0,97.0,95.0,0.67,231,229,251,114,True
ant,Public Class,org.apache.tools.ant.taskdefs.Zip,3.0,3.0,3.0,1.0,24.0,1.0,14.0,8.0,1.0,37.0,1.0,1.0,8.0,73.0,153.0,72.0,29.0,0.0,10.0,28.0,35.0,2114.0,207.0,1178.0,317.0,780.0,733.0,542.0,791.0,281.0,25.0,25.0,31.0,10.0,4.0,5.0,94.0,89.0,0.62,230,230,272,111,True
ant,Public Class,org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl,6.0,6.0,7.0,1.0,45.0,3.0,31.0,10.0,2.0,15.0,0.0,0.0,5.0,20.0,20.0,20.0,4.0,0.0,5.0,13.0,2.0,1895.0,146.0,1242.0,227.0,867.0,507.0,528.0,810.0,229.0,19.0,19.0,24.0,6.0,1.0,4.0,62.0,57.0,0.41,124,124,144,35,True
