project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lpl
ant,Public Method,org.apache.tools.ant.types.Resource.hashCode,6.0,12.0,0.0,7.0,2.0,4.0,5.0,5.0,2.0,0.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.71,3,3,3,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.extension.JarLibAvailableTask.setFile,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.MacroDef.addConfiguredElement,3.0,23.0,0.0,18.0,1.0,13.0,5.0,7.0,8.0,1.0,5.0,9.0,1.0,8.0,4.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,0.28,4,4,6,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.KeySubst.setDest,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.Java.log,3.0,12.0,0.0,7.0,3.0,5.0,5.0,4.0,1.0,0.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.71,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.selectors.DateSelector.setParameters,8.0,39.0,0.0,33.0,2.0,26.0,6.0,15.0,11.0,1.0,13.0,24.0,3.0,21.0,11.0,11.0,11.0,1.0,8.0,0.0,4.0,0.0,0.18,11,11,11,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.jsp.JspC.isMapped,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.ProjectHelperRepository.ConstructingIterator.remove,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Constructor,org.apache.tools.ant.taskdefs.Replace.FileOutput.FileOutput,3.0,13.0,0.0,8.0,1.0,5.0,5.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.63,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.condition.Contains.eval,3.0,15.0,1.0,9.0,1.0,6.0,5.0,4.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.56,3,3,4,1,False
